date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:12	5948/5948	---M-Z	200	added ('OK')	application/javascript	etag:%22173c-57b464d24c1a3-gzip%22	http://mcbeki.com/main/js/active.js	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/js/active.js	(from http://mcbeki.com/)
20:20:18	84265/84265	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a91-14929%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.js	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.js	(from http://mcbeki.com/)
20:20:19	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22235ed-57b464d23f684-gzip%22	http://mcbeki.com/main/css/bootstrap.min.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/css/bootstrap.min.css	(from http://mcbeki.com/main/style.css)
20:20:20	47635/47635	---M-Z	200	added ('OK')	text/css	etag:%22ba13-57b464d23f684-gzip%22	http://mcbeki.com/main/css/animate.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/css/animate.css	(from http://mcbeki.com/main/style.css)
20:20:20	4614/4614	---M-Z	200	added ('OK')	text/css	etag:%221206-57b464d23f684-gzip%22	http://mcbeki.com/main/css/owl.carousel.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/css/owl.carousel.css	(from http://mcbeki.com/main/style.css)
20:20:21	5599/5599	---M-Z	200	added ('OK')	text/css	etag:%2215df-57b464d23f684-gzip%22	http://mcbeki.com/main/css/magnific-popup.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/css/magnific-popup.css	(from http://mcbeki.com/main/style.css)
20:20:21	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-57b464d23f684-gzip%22	http://mcbeki.com/main/css/font-awesome.min.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/css/font-awesome.min.css	(from http://mcbeki.com/main/style.css)
20:20:23	16450/16450	---M-Z	200	added ('OK')	text/css	etag:%224042-57b464d23f684-gzip%22	http://mcbeki.com/main/css/themify-icons.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/css/themify-icons.css	(from http://mcbeki.com/main/style.css)
20:20:34	62084/62084	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22f284-57b464d23c7a4%22	http://mcbeki.com/backend/fonts/feather.eot?t=1501841394106	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/backend/fonts/feather6cfa.eot	(from http://mcbeki.com/backend/css/feather.css)
20:20:36	867443/867443	---M--	200	added ('OK')	image/jpeg	etag:%22d3c73-57ef734ac888f%22	http://mcbeki.com/upload/portfolio/MTN%20Ad/cover/1546975089.jpg	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/upload/portfolio/MTN%20Ad/cover/1546975089.jpg	(from http://mcbeki.com/)
20:20:40	29500/29500	---M--	200	added ('OK')	application/font-woff	etag:%22733c-57b464d23c7a4%22	http://mcbeki.com/backend/fonts/feather.woff?t=1501841394106	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/backend/fonts/feather6cfa.woff	(from http://mcbeki.com/backend/css/feather.css)
